APPLUS EBENE,APPLUS BEZEICHNUNG,APPLUS ARTIKELNUMMER,APPLUS MENGE,APPLUS MENGENEINHEIT,APPLUS ARTIKELGRUPPE,APPLUS PROFILLÄNGE,APPLUS FLÄCHE,APPLUS STANDARDPROFILLÄNGE,APPLUS STANDARDFLÄCHE,APPLUS EINKAUF,APPLUS LAGER,APPLUS FERTIGUNG,APPLUS AUFTRAG,APPLUS LÄNGE,APPLUS BREITE,APPLUS WAND ID,APPLUS KLEINTEILMENGE,APPLUS KLEINTEILBEZEICHNUNG,APPLUS KLEINTEILSCHLÜSSEL,APPLUS KLEINTEILARTIKELNUMMER,APPLUS BSU ID,Wand ID
4,Profil- U-Ringankerprofil 4610 (Z2097) ,23209750002097,1,Stück,Profil,2097,,5000,,0,0,1,1,,,Wand 2 Profile ,9,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,23,2
5,,1000010,2097.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z1383) ,22138350001383,5,Stück,Profil,1383,,5000,,0,0,1,1,,,Wand 2 Profile ,6,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,1383.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z1383) ,22138350001383,2,Stück,Profil,1383,,5000,,0,0,1,1,,,Wand 2 Profile ,6,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,1383.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z1383) ,22138350001383,1,Stück,Profil,1383,,5000,,0,0,1,1,,,Wand 2 Profile ,6,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,1383.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,7,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 2 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,3,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 2 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z2395) ,22239550002395,2,Stück,Profil,2395,,5000,,0,0,1,1,,,Wand 2 Profile ,10,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,2395.0,mm,,,,,,1,1,0,0,,,,,,,,,
4,Profil- C-Ständerprofil 4710 (Z253) ,22253050002530,7,Stück,Profil,253.0,,5000,,0,0,1,1,,,Wand 2 Profile ,2,"Schraube - Hilti SBS S-MD03Z (6,3x19)",4,1001958,22,2
5,,1002266,253.0,mm,,,,,,1,1,0,0,,,,,,,,,
